date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:39	32/32	---M--	404	error ('Not%20Found')	application/json	etag:W/%2220-cWG0hhZyuMvlCs756gx7n6JsoVw%22	http://157.245.37.125:32340/robots.txt		(from )
21:00:40	1034/1034	---M--	200	added ('OK')	text/html	etag:W/%2240a-17749845bb8%22	http://157.245.37.125:32340/	E:/SUBOS/Downloads/wheatherapp/157.245.37.125_32340/index.html	(from )
21:00:42	1889/1889	---M--	200	added ('OK')	text/css	etag:W/%22761-1774a060af0%22	http://157.245.37.125:32340/static/css/main.css	E:/SUBOS/Downloads/wheatherapp/157.245.37.125_32340/static/css/main.css	(from http://157.245.37.125:32340/)
21:00:42	155758/155758	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	http://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	E:/SUBOS/Downloads/wheatherapp/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from http://157.245.37.125:32340/)
21:00:43	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Aug%202023%2014:00:44%20GMT	http://fonts.gstatic.com/	E:/SUBOS/Downloads/wheatherapp/fonts.gstatic.com/index.html	(from http://157.245.37.125:32340/)
21:00:43	221/221	---MC-	200	added ('OK')	text/css	date:Thu,%2017%20Aug%202023%2014:00:44%20GMT	http://fonts.googleapis.com/css2?family=Press+Start+2P&display=swap	E:/SUBOS/Downloads/wheatherapp/fonts.googleapis.com/css25b7c.css	(from http://157.245.37.125:32340/)
21:00:44	1179/1179	---M--	200	added ('OK')	application/javascript	etag:W/%2249b-1774a1633a8%22	http://157.245.37.125:32340/static/js/main.js	E:/SUBOS/Downloads/wheatherapp/157.245.37.125_32340/static/js/main.js	(from http://157.245.37.125:32340/)
21:00:45	1229/1229	---M--	200	added ('OK')	application/javascript	etag:W/%224cd-17749845bb8%22	http://157.245.37.125:32340/static/js/koulis.js	E:/SUBOS/Downloads/wheatherapp/157.245.37.125_32340/static/js/koulis.js	(from http://157.245.37.125:32340/)
21:00:49	34126/34126	---M--	200	added ('OK')	image/png	etag:%2221bf7c272f0193c6e3a429dac4f83bf1%22	http://s3-us-west-2.amazonaws.com/s.cdpn.io/296766/8bitsprites.png	E:/SUBOS/Downloads/wheatherapp/s3-us-west-2.amazonaws.com/s.cdpn.io/296766/8bitsprites.png	(from http://157.245.37.125:32340/static/css/main.css)
21:01:00	219767/219767	---M--	200	added ('OK')	image/gif	etag:W/%2235a77-17749845bb8%22	http://157.245.37.125:32340/static/favicon.gif	E:/SUBOS/Downloads/wheatherapp/157.245.37.125_32340/static/favicon.gif	(from http://157.245.37.125:32340/)
21:01:00	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Aug%202023%2014:01:01%20GMT	http://fonts.gstatic.com/robots.txt		(from http://157.245.37.125:32340/)
21:01:00	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Aug%202023%2014:01:01%20GMT	http://fonts.googleapis.com/robots.txt		(from http://157.245.37.125:32340/)
21:01:04	115280/115280	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2002%20May%202023%2015:28:41%20GMT	http://fonts.gstatic.com/s/pressstart2p/v15/e3t4euO8T-267oIAQAu6jDQyK0nS.ttf	E:/SUBOS/Downloads/wheatherapp/fonts.gstatic.com/s/pressstart2p/v15/e3t4euO8T-267oIAQAu6jDQyK0nS.ttf	(from http://fonts.googleapis.com/css2?family=Press+Start+2P&display=swap)
21:03:06	3258009/3258009	UR-M--	200	added ('Partial%20Content')	image/gif	etag:W/%2231b699-17749845bb8%22	http://157.245.37.125:32340/static/weather.gif	E:/SUBOS/Downloads/wheatherapp/157.245.37.125_32340/static/weather.gif	(from http://157.245.37.125:32340/)
